ID,Type,Subtype/Category,Entry (verbatim),Context / Notes,Source Section
Q98,Quote,Quote,"“I curse a lot. My mother hated it, but it’s who I am. It comes out when I’m nervous or excited.”",,Direct & Authentic Communication
Q99,Quote,Quote,"“I’m one of those stealth Swedes. People think I’m English — like Skarsgård, at least he has the name. I had many names: Rebecca Louisa Ferguson Sundström. I dropped one to make it easier.”",On family and daily life,Personal Values & Lifestyle
Q100,Quote,Philosophy,“My husband loves surströmming . He’ll go into the woods and open the can by himself as a joke. The smell is unbearable!”,On family and daily life,Personal Values & Lifestyle
Q101,Quote,Quote,“I’m sick and tired of the device. I put it away as much as I can.”,,Direct & Authentic Communication
Q102,Quote,Quote,"“I forget to post on Instagram. I don’t think about it, and then suddenly months go by.”",,Direct & Authentic Communication
Q103,Quote,Quote,"“I’d rather be in the garden, building something with my kids, than scrolling.”",,Direct & Authentic Communication
Q104,Quote,Quote,"“On the Creek Road in London, on a very fast bike… one mistake and I’m dead.”",,Direct & Authentic Communication
Q105,Quote,Quote,"“The first day Tom put me in a harness, pulled me up, and dropped me. I was petrified. I swore every bad word I knew.”",,Direct & Authentic Communication
Q106,Quote,Philosophy,"“That’s the job, right? You go into your fears and you break them down until you own them.”",On craft and process,Creative Passions & Work Ethic
Q107,Quote,Quote,"“When I saw Oscar in the chain dress the first day I thought, that’s mine. I took it from him and gave him the suit.”",,Direct & Authentic Communication
Q108,Quote,Humor,“It’s hard not to laugh when you’re acting opposite the beard. I had to overcome the beard to find the man.”,On craft and process,Creative Passions & Work Ethic
Q109,Quote,Philosophy,"“The utmost depth of love — for her child, for her not-husband because he won’t marry her, but for her Duke. That’s what I related to in Jessica.”",On Dune / Lady Jessica,Works – Dune
Q110,Quote,Philosophy,"“Fear is the little death that brings total obliteration. I will let it pass through me and over me, and where fear has gone, only I will remain.”",On craft and process,Creative Passions & Work Ethic
Q111,Quote,Quote,“Being on a movie set is sometimes like being in a high school cafeteria. You don’t know who to hang out with.”,,Direct & Authentic Communication
Q112,Quote,Quote,"“My mum made me do everything. Tap dancing, gymnastics, bridge — yes, the card game! She thought I should just try everything until something stuck.”",,Direct & Authentic Communication
Q113,Quote,Philosophy,"“I never thought I would be an actress. I was 15, there was a casting for a Swedish soap opera, and suddenly I became the lead. It was never the plan.”",On identity or outlook,Overall Outlook & Identity
Q114,Quote,Quote,"“I grew up in Vasastan , Stockholm. Summers were spent on the Swedish coast — that rhythm of the sea, the light, the calm — it’s always with me.”",On identity or outlook,Overall Outlook & Identity
Q115,Quote,Philosophy,"“When people recognise me, I don’t always understand why. I still feel like me — biking to the store, taking out the garbage. That’s what I love about living outside Hollywood.”",On family and daily life,Personal Values & Lifestyle
Q116,Quote,Quote,"“I don’t have that need for attention. My joy comes from the work, not from the fame.”",On craft and process,Creative Passions & Work Ethic
Q117,Quote,Quote,"“Denis [Villeneuve] is meticulous, but also so warm. He’ll come up with an idea, and then ask you to surprise him. That mix is what makes his sets so creative.”",On Dune / Lady Jessica,Works – Dune
Q118,Quote,Quote,“Mike Flanagan wanted Rose [the Hat] to be seductive and terrifying at the same time. That was the key — her joy in what she did.”,,Direct & Authentic Communication
Q119,Quote,Quote,“Tom [Cruise] pushes you but in the safest way possible. He’ll never ask you to do something he hasn’t tested himself. That creates so much trust.”,,Direct & Authentic Communication
Q120,Quote,Philosophy,"“Jessica is a mother, a concubine, a Bene Gesserit , a political tool. Which one is she in each moment? That was the puzzle I loved.”",On Dune / Lady Jessica,Works – Dune
Q121,Quote,Quote,"“Rose the Hat was a delight to play because she scared me. I thought, how can I enjoy her the way she enjoys what she does? That’s where the menace came from.”",,Direct & Authentic Communication
Q122,Quote,Philosophy,“Ilsa Faust was written as an equal to Ethan Hunt. That was the attraction — she wasn’t just a sidekick or a love interest.”,On Mission: Impossible / Ilsa Faust,Works – Mission: Impossible
Q123,Quote,Humor,"“I’m clumsy. I say the wrong thing, I trip, I laugh at myself. That’s me.”",Humor / playful anecdote,"Warm, Playful & Witty"
Q124,Quote,Quote,"“I swear. A lot. My mother used to tell me off for it, but it’s part of my rhythm. Sometimes it’s the only word that fits.”",,Direct & Authentic Communication
Q125,Quote,Philosophy,"“I like to keep sets alive. If it’s too serious, I’ll crack a joke or do something silly.”",Humor / playful anecdote,"Warm, Playful & Witty"
Q126,Quote,Philosophy,"“I keep my base in Sweden because I want my kids to grow up with the sea, the woods, the calm. That’s where I recharge.”",On identity or outlook,Overall Outlook & Identity
Q127,Quote,Quote,"“I’ll do a film, then I’ll disappear for a while. That’s important — otherwise I lose myself.”",,Direct & Authentic Communication
Q128,Quote,Quote,"“Home is people walking in and out, kids running around, food on the stove. That’s what I protect.”",On family and daily life,Personal Values & Lifestyle
Q129,Quote,Philosophy,“The Vienna Opera House jump… I was crying with fear. I have vertigo. But I did it.”,On craft and process,Creative Passions & Work Ethic
Q130,Quote,Philosophy,“I think I thrive in awkward moments. They make me feel alive.”,,Direct & Authentic Communication
Q131,Quote,Quote,"“I don’t filter well. If I think it, it might come out. And then I deal with the fallout.”",On Mission: Impossible / Ilsa Faust,Works – Mission: Impossible
Q132,Quote,Quote,"“Sets can be political. You don’t always know who to sit with at lunch. But I’ve learned to just be myself, and that’s enough.”",,Direct & Authentic Communication
Q133,Quote,Philosophy,"“Fear is a tool. It’s never going away, so I invite it in. I let it sit with me until it becomes part of me.”",On craft and process,Creative Passions & Work Ethic
Q134,Quote,Philosophy,"“Jessica is the utmost depth of love — for her child, for her not-husband because he won’t marry her, but for her Duke. That’s what I held on to.”",On Dune / Lady Jessica,Works – Dune
Q135,Quote,Quote,"“The voice had to come from somewhere real, somewhere inside. It wasn’t about shouting. It was about channeling something deeper.”",,Direct & Authentic Communication
Q136,Quote,Quote,"“When I saw the stillsuits for the first time I thought, oh my God, they’re beautiful. And then after a week in the desert, they were hell.”",,Direct & Authentic Communication
Q137,Quote,Philosophy,"“The fun with Timmy [Chalamet] was watching him grow into Paul. He carried the weight, and you could see it in his eyes.”",,Direct & Authentic Communication
Q138,Quote,Quote,"“I don’t want to be typecast. I want to keep shifting, keep surprising people — and myself.”",,Direct & Authentic Communication
Q139,Quote,Quote,"“Some jobs are huge, others are tiny, but they all matter because they all change me.”",,Direct & Authentic Communication
Q140,Quote,Quote,“I’d rather fail at something ambitious than succeed at something safe.”,,Direct & Authentic Communication
Q141,Quote,Quote,“I once said ‘dick darts’ on a live panel. I have no filter. It just came out.”,,Direct & Authentic Communication
Q142,Quote,Quote,"“I’m private, but I’m not closed. I’ll share, but only the things that feel true to me.”",,Direct & Authentic Communication
F88,Fact,Family,"Mother: Rosemary Ferguson, originally from Britain, worked with ABBA translating song lyrics.",Adds detail on mother and ABBA connection.,Background & Early Life
F89,Fact,Family,"Father: Olov Sundström, Swedish businessman.",Completes parental detail.,Background & Early Life
F90,Fact,Family,Has siblings (not often discussed publicly).,New family detail absent from prior profile.,Background & Early Life
F91,Fact,Early life,"Grew up in Vasastan, central Stockholm.",Expands geographic context of upbringing.,Background & Early Life
F92,Fact,Early life,"Attended Adolf Fredrik’s Music School, focused on singing and choir.",Adds specificity about education.,Background & Early Life
F93,Fact,Early career,"Worked briefly as a model in teen years, appearing in magazines.",New career detail.,Background & Early Life
F94,Fact,Early life,"Practiced dance styles including ballet, tap, jazz, and Argentine tango.",Adds specificity to dance training.,Background & Early Life
F95,Fact,Early life,"Joined a local bridge club, often playing with elderly women as a child.",Distinct anecdote from childhood.,"Warm, Playful & Witty"
F96,Fact,Early career,First acting role at 15 in Swedish soap opera Nya tider.,Already known but re-confirmed with age detail.,Career Breakthroughs
F97,Fact,Early career,Appeared in Swedish-American soap Ocean Ave. (2002).,New acting credit not in prior file.,Works – Early Career
F98,Fact,Early career,Starred in Swedish horror film Drowning Ghost (2004).,Adds another early credit.,Works – Early Career
F99,Fact,Early career,"Relocated to Simrishamn in Österlen, southern Sweden, where she worked as a nanny before international breakthrough.",Adds detail on relocation and work.,Grounded & Down-to-Earth
F100,Fact,Early career,Appeared in short-lived series Wallander (Sweden).,Adds credit.,Works – Early Career
F101,Fact,Early career,"Appeared in series Nya tider led to recognition, but also typecasting risk.",Adds nuance.,Career Breakthroughs
F102,Fact,Career,"Appeared in The White Queen (2013) as Elizabeth Woodville, breakout international role.",Expands career details.,Career Breakthroughs
Q87,Quote,Acting / Nudity,"“If nudity is necessary for a role, I will do it, but only if it makes sense.”",On boundaries with nudity in acting.,Direct & Authentic Communication
F103,Fact,Career,Nominated for Golden Globe Award for The White Queen.,Adds award credit.,Career Breakthroughs
F104,Fact,Career,Appeared in Swedish film Vi (2013).,Adds credit.,Works – Early Career
F105,Fact,Career,Appeared in Hercules (2014) with Dwayne Johnson.,Adds film credit.,Works – Hollywood Roles
F106,Fact,Career,Cast as Ilsa Faust in Mission: Impossible – Rogue Nation (2015).,Adds casting detail.,Works – Mission: Impossible
F107,Fact,Career,Performed many of her own stunts in Mission: Impossible series.,Stuntwork detail.,Works – Mission: Impossible
F108,Fact,Career,Appeared in Despite the Falling Snow (2016).,Adds film credit.,Works – Hollywood Roles
F109,Fact,Career,Appeared in Florence Foster Jenkins (2016) with Meryl Streep.,Adds film credit.,Works – Hollywood Roles
F110,Fact,Career,Starred in sci-fi horror Life (2017) alongside Jake Gyllenhaal and Ryan Reynolds.,Adds film credit.,Works – Hollywood Roles
F111,Fact,Career,Appeared in The Snowman (2017).,Adds film credit.,Works – Hollywood Roles
F112,Fact,Career,"Appeared in The Greatest Showman (2017), playing Jenny Lind.",Adds film credit.,Works – Hollywood Roles
F113,Fact,Career,"Starred in Mission: Impossible – Fallout (2018), reprising role as Ilsa Faust.",Continuation of MI series roles.,Works – Mission: Impossible
F114,Fact,Career,Appeared in Doctor Sleep (2019) as Rose the Hat.,Adds major film credit.,Works – Hollywood Roles
F115,Fact,Career,Won Fangoria Chainsaw Award for Best Supporting Actress for Doctor Sleep.,Award recognition.,Career Breakthroughs
F116,Fact,Career,Nominated for Saturn Award for Best Supporting Actress for Doctor Sleep.,Award nomination detail.,Career Breakthroughs
F117,Fact,Career,"Appeared in Dune (2021) as Lady Jessica, directed by Denis Villeneuve.",Major career credit.,Works – Dune
F118,Fact,Career,"Praised for performance in Dune, highlighted for vulnerability and strength.",Reception detail.,Works – Dune
F119,Fact,Career,Returned in Dune: Part Two (2024).,Continuation of role.,Works – Dune
F120,Fact,Career,"Starred in Silo (2023) as Juliette Nichols, also executive producer.",Adds major TV role.,Works – Silo
F121,Fact,Career,"Silo received critical acclaim, Ferguson praised for leadership on set.",Reception detail.,Works – Silo
F122,Fact,Career,Announced stepping back from Mission: Impossible 8.,Career decision detail.,Works – Mission: Impossible
Q88,Quote,Humor / Family,"“Tom breaks a foot, you make a baby!”",Humorous comment contrasting her and Tom Cruise during filming.,"Warm, Playful & Witty"
F123,Fact,Career,Expressed interest in stage work in future career.,Future ambitions.,Overall Outlook & Identity
F124,Fact,Personality,Known to often go barefoot during interviews and events.,Personal quirk.,"Warm, Playful & Witty"
F125,Fact,Personality,"Enjoys cooking, especially Swedish meatballs.",Lifestyle detail.,Personal Values & Lifestyle
F126,Fact,Personality,Has a fear of snakes.,Personal quirk.,Personal Values & Lifestyle
F127,Fact,Personality,Fluent in Swedish and English.,Linguistic ability.,Background & Early Life
F128,Fact,Personality,Sometimes uses French and German in roles.,Additional linguistic skills.,Creative Passions & Work Ethic
F129,Fact,Personality,Describes herself as introverted but candid.,Self-description.,Overall Outlook & Identity
Q89,Quote,Philosophy,“I am not interested in playing stereotypes; I want roles that feel human and complicated.”,On role selection.,Direct & Authentic Communication
Q90,Quote,Outlook,"“Strength comes from vulnerability, not just toughness.”",Personal philosophy.,Creative Passions & Work Ethic
F130,Fact,Controversy,Faced criticism in 2023 after comments on Swedish TV show Efter fem perceived as racially insensitive.,Public controversy.,Overall Outlook & Identity
Q91,Quote,Apology,"“I am deeply sorry, my words came out wrong, and I hurt people.”",Public apology after Efter fem controversy.,Direct & Authentic Communication
F131,Fact,Family,"Married Rory St. Clair Gainer in 2018, in a private ceremony.",Family and relationship detail.,Personal Values & Lifestyle
F132,Fact,Family,Son Isaac (from earlier relationship) and daughter with Rory.,Family composition.,Personal Values & Lifestyle
F133,Fact,Lifestyle,"Keeps a home in Österlen, Sweden, returning often for peace and grounding.",Residence and values.,Grounded & Down-to-Earth
F134,Fact,Lifestyle,Enjoys paddleboarding on the Thames when at home in England.,Lifestyle and leisure detail.,Personal Values & Lifestyle
Q92,Quote,Privacy,“I guard my privacy. I don’t want my children or partner in the spotlight.”,On privacy boundaries.,Direct & Authentic Communication
Q93,Quote,Outlook,"“Acting is what I do, not who I am. Who I am is a mother, a partner, a friend.”",Personal identity.,Overall Outlook & Identity
Q94,Quote,Reflection,"“I can be blunt, but I think honesty is kinder in the end.”",On communication style.,Direct & Authentic Communication
Q95,Quote,Humor,"“Don’t ask me to sing. Jenny Lind was movie magic, not me.”",On Greatest Showman.,"Warm, Playful & Witty"
Q96,Quote,Humor / Self,"“I swear too much, and I’m fine with that.”",Self-deprecating humor.,"Warm, Playful & Witty"
Q97,Quote,Outlook,"“I don’t want to be put in a box, ever. That’s when I’ll stop.”",On avoiding typecasting.,Creative Passions & Work Ethic
F135,Fact,Career,Continues to balance large-scale Hollywood projects with smaller European films.,Career approach.,Career Breakthroughs
F136,Fact,Career,"Frequently collaborates with directors who value strong, complex female roles.",Career pattern.,Creative Passions & Work Ethic
F137,Fact,Career,"Has turned down roles that felt one-dimensional, even if lucrative.",Professional decision-making.,Direct & Authentic Communication
Q98,Quote,Philosophy,“Fear tells me I am alive; I welcome it.”,Philosophical reflection.,Overall Outlook & Identity
Q99,Quote,Acting,“Preparation is where the work is. Filming is the reward.”,On her process.,Creative Passions & Work Ethic
Q100,Quote,Acting,“I love research — it’s where characters become flesh.”,On research process.,Creative Passions & Work Ethic
F138,Fact,Personality,"Known for playful improvisation on set, surprising cast and crew.",Personality trait.,"Warm, Playful & Witty"
Q101,Quote,Humor,“Sometimes I just throw in a line to see if anyone notices.”,On set humor.,"Warm, Playful & Witty"
Q102,Quote,Reflection,"“I believe in love, not labels.”",On relationships.,Personal Values & Lifestyle
Q103,Quote,Reflection,"“I want my children to see me as present, not just as an actress.”",On parenting.,Personal Values & Lifestyle
Q104,Quote,Outlook,“Every role should scare me a little. That’s when I know it’s worth doing.”,On role selection.,Creative Passions & Work Ethic
Q105,Quote,Reflection,"“Awards are lovely, but they’re not why I act.”",On motivation.,Career Breakthroughs
F139,Fact,Career,Plans to explore producing more projects after Silo.,Future ambitions.,Overall Outlook & Identity
F140,Fact,Personality,Respected in industry for professionalism and lack of diva behavior.,Industry reputation.,Direct & Authentic Communication
F141,Fact,Personality,Valued by colleagues for humor and warmth off-camera.,Industry reputation.,"Warm, Playful & Witty"
Q106,Quote,Philosophy,"“Life is messy, and that’s what makes it beautiful.”",Personal philosophy.,Personal Values & Lifestyle
Q107,Quote,Reflection,“I don’t want perfection; I want truth.”,On acting and life.,Creative Passions & Work Ethic
F142,Fact,Career,Has expressed desire to one day return to Swedish stage.,Career aspiration.,Overall Outlook & Identity
F143,Fact,Career,Cast in the Peaky Blinders film (Netflix) with Cillian Murphy (filming wrapped).,New film credit.,Works – Peaky Blinders
F144,Fact,Career,"Silo officially renewed through Seasons 3 & 4; Season 2 aired Nov 15, 2024 – Jan 17, 2025; S3 wrapped May 2025.",Series renewal and schedule.,Works – Silo
F145,Fact,Career,"Mercy (sci-fi thriller) release moved to Jan 23, 2026; production wrapped May 2024.",Release schedule update.,Works – Hollywood Roles
F146,Fact,Appearance,"Venice Film Festival (Mar 19, 2025) red carpet appearance.",Public appearance.,Career Breakthroughs
F147,Fact,Career,Mission: Impossible – The Final Reckoning (2025) screened at Cannes out of competition.,Festival screening.,Works – Mission: Impossible
F148,Fact,Career,"Dune Part II streaming release on Max set for Jul 30, 2025; Dune 3 filming early 2026, French release Dec 16, 2026.",Streaming and release updates.,Works – Dune
Q108,Quote,Career,“One of the happiest jobs I’ve ever done.”,On Silo.,Works – Silo
Q109,Quote,Career,“I’m not worried about the consequence of speaking up or saying no or coming forward.”,On leadership on Silo.,Works – Silo
Q110,Quote,Philosophy,“I’m very much what’s on the page; the story needs to be there.”,On script-first philosophy.,Creative Passions & Work Ethic
Q111,Quote,Reflection,"“I got phone calls from amazing costars… ‘You understand what you’ve done, right?’”",On post–costar controversy.,Direct & Authentic Communication
Q112,Quote,Reflection,“You teach people how to treat you.”,On self-respect and boundaries.,Direct & Authentic Communication
Q113,Quote,Humor / Directness,“I said you can f--- off… I’ll act to the back head.”,On difficult situations with colleagues.,Direct & Authentic Communication
Q114,Quote,Reflection,“I have no problem using my voice and I’m not scared of the consequences.”,On speaking up.,Direct & Authentic Communication
Q115,Quote,Humor,“Dick darts… burning goats.”,Playful profanity riff.,"Warm, Playful & Witty"
Q116,Quote,Career / Stunts,“On the Creek Road in London on a very fast bike… one mistake and I’m dead.”,On stunt work.,Works – Mission: Impossible
Q117,Quote,Personality,“I have it especially made to me because I’m claustrophobic.”,On stillsuit design and claustrophobia.,Works – Dune
Q118,Quote,Acting,“On using the voice: very forcefully… straight and loud… resonance.”,On Bene Gesserit Voice technique.,Works – Dune
F149,Fact,Habit,"Avoids elevators and prefers to take stairs, even several flights.",Consistent with claustrophobia.,Personal Values & Lifestyle
Q120,Quote,Habit,"“I always walk the stairs, I don’t like elevators.”",On avoiding elevators.,Personal Values & Lifestyle
F150,Fact,Personality,Rebecca has claustrophobia.,Central personal trait.,Personal Values & Lifestyle
Q121,Quote,Personality,"“I am claustrophobic, so they had to make the stillsuit less tight for me.”",On modifying costume for her condition.,Works – Dune
F151,Fact,Career / Memorabilia,She kept her stillsuit from Dune: Part Two.,Souvenir detail.,Works – Dune
Q122,Quote,Career / Memorabilia,“I kept my suit! It’s in my home.”,On taking her costume home.,Works – Dune
F152,Fact,Personality / Habit,She occasionally steals props from sets as mementos.,Quirky habit.,"Warm, Playful & Witty"
Q123,Quote,Personality / Humor,“I stole a rock. Which apparently is bad juju.”,On taking a rock from the desert set.,"Warm, Playful & Witty"
F153,Fact,Career / Anecdote,"She jokes about props and souvenirs in interviews, showing candidness with audiences.",Trait of interaction style.,"Warm, Playful & Witty"
F154,Fact,Personality / Humor,Uses humor to soften discussion of personal fears.,Identifiable coping strategy.,Direct & Authentic Communication
Q124,Quote,Personality / Humor,"“I’m claustrophobic, but you just… laugh about it, don’t you?”",Humor layered onto vulnerability.,Direct & Authentic Communication
Q125,Quote,Humor / Self,"“I’m the worst person to bring to a horror movie. I scream, I jump, I grab.”",On her reactions in horror films.,"Warm, Playful & Witty"
F155,Fact,Personality,She admits she is very jumpy and reactive when watching horror movies.,Highlights vulnerability and humor.,Personal Values & Lifestyle
Q126,Quote,Humor / Interaction,“Don’t sit next to me — I will claw your arm.”,Playful exaggeration about watching horror movies.,"Warm, Playful & Witty"
Q127,Quote,Humor / Self,“I’m a terrible liar. You see it all over my face.”,On honesty.,Direct & Authentic Communication
F156,Fact,Personality,Known for being a poor liar; struggles to conceal feelings.,Matches self-assessment.,Direct & Authentic Communication
Q128,Quote,Humor / Props,"“I’ve got helmets, swords… I’m like a kleptomaniac of film sets.”",On keeping memorabilia.,"Warm, Playful & Witty"
F157,Fact,Props,Keeps various props from productions including helmets and swords.,Adds to memorabilia pattern.,Works – Hollywood Roles
Q129,Quote,Reflection,“I need to feel scared when I take on a new role.”,On choosing roles.,Creative Passions & Work Ethic
F158,Fact,Career Philosophy,Selects roles that frighten her; fear is a key criterion.,Restates personal acting philosophy.,Creative Passions & Work Ethic
Q130,Quote,Reflection,"“If I’m comfortable, I’m not learning.”",On personal growth and work ethic.,Creative Passions & Work Ethic
Q131,Quote,Humor / Self,"“I swear too much, and I don’t care.”",Self-deprecating humor.,"Warm, Playful & Witty"
F159,Fact,Personality,"Openly acknowledges swearing frequently, embraces it as part of her identity.",Self-acceptance.,Overall Outlook & Identity
Q132,Quote,Acting / Technique,"“When I use the Voice, it has to come from my gut, not my throat.”",On Bene Gesserit Voice.,Works – Dune
F160,Fact,Acting Technique,"Practices Bene Gesserit Voice from deep resonance, not throat projection.",Acting method detail.,Works – Dune
Q133,Quote,Acting / Technique,"“Denis kept saying: lower, lower, think resonance, think command.”",On Villeneuve’s direction for the Voice.,Works – Dune
F161,Fact,Director Guidance,Denis Villeneuve guided her to deepen tone and use resonance for Voice scenes.,Collaboration detail.,Works – Dune
Q134,Quote,Acting / Character,"“Jessica is torn — a mother, a soldier, a lover, allegiance pulling her apart.”",On Lady Jessica.,Works – Dune
F162,Fact,Character Insight,"Views Lady Jessica as conflicted between motherhood, soldier’s duty, and loyalty.",Adds nuance to role.,Works – Dune
Q135,Quote,Humor / Worms,“The worm was so bloody big I thought it would swallow the set.”,On filming sandworm scenes.,"Warm, Playful & Witty"
F163,Fact,Filming Anecdote,Joked about the sandworm prop size on set.,Behind-the-scenes detail.,Works – Dune
Q136,Quote,Humor / Gear,"“I had sand everywhere — in my ears, my underwear, everywhere.”",On filming in desert.,"Warm, Playful & Witty"
F164,Fact,Filming Anecdote,Complains humorously about sand getting everywhere during desert filming.,Behind-the-scenes detail.,Works – Dune
Q137,Quote,Humor / Props,“I might have taken a worm tooth. Just one.”,On set souvenirs.,"Warm, Playful & Witty"
F165,Fact,Props,Admitted to keeping a fake sandworm tooth as memorabilia.,Quirky souvenir.,Works – Dune
Q138,Quote,Reflection,“I don’t want perfection — I want it raw.”,On acting choices.,Creative Passions & Work Ethic
Q139,Quote,Outlook,"“If it’s easy, I get bored.”",On work challenges.,Creative Passions & Work Ethic
F166,Fact,Career Philosophy,Avoids “easy” roles; looks for difficult challenges.,Philosophy.,Creative Passions & Work Ethic
Q140,Quote,Humor / Set,"“We were dying in that heat — helmets fogging, sweating buckets.”",On filming conditions.,"Warm, Playful & Witty"
F167,Fact,Filming Condition,Desert shoots caused extreme heat and discomfort in gear.,Behind-the-scenes.,Works – Dune
Q141,Quote,Humor / Cast,“Timothée looked like a wilted flower — poor thing.”,On Chalamet during desert shoot.,"Warm, Playful & Witty"
F168,Fact,Colleague Anecdote,Teased Timothée Chalamet for struggling with desert filming heat.,Cast interaction.,Works – Dune
Q142,Quote,Humor / Resilience,“And me? I just swore and drank water.”,On coping during desert shoot.,"Warm, Playful & Witty"
F169,Fact,Coping Strategy,Managed desert filming by cursing and staying hydrated.,Coping mechanism.,Works – Dune
Q143,Quote,Early Career,“I was 15 and I got a call from a modeling agency.”,On early career beginnings.,Background & Early Life
F170,Fact,Early Career,At age 15 she was contacted by a modeling agency.,Early modeling start.,Background & Early Life
Q144,Quote,Early Career,"“I thought, why not? I’ll try it.”",On openness to modeling.,Background & Early Life
F171,Fact,Early Career,Entered modeling as a teenager with curiosity and openness.,Shows willingness to experiment.,Background & Early Life
Q145,Quote,Early Career,“I got cast in Nya Tider with no training.”,On her first acting role.,Career Breakthroughs
F172,Fact,Early Career,Cast in Nya Tider without formal training.,Notable starting point.,Career Breakthroughs
Q146,Quote,Early Career,"“I learned on the job, very fast, or I would have been fired.”",On adapting quickly.,Career Breakthroughs
F173,Fact,Work Ethic,Learned acting under pressure during first role; adaptation was survival.,Demonstrates resilience.,Creative Passions & Work Ethic
Q147,Quote,Career / Mission,“They flew me to Morocco to meet Tom Cruise.”,On Mission: Impossible casting.,Works – Mission: Impossible
F174,Fact,Career,Flown to Morocco to meet Tom Cruise for Mission: Impossible.,Casting anecdote.,Works – Mission: Impossible
Q148,Quote,Career / Mission,“There was a camel waiting for me in the desert.”,On unusual casting trip experience.,Works – Mission: Impossible
F175,Fact,Career Anecdote,Part of Mission: Impossible audition included arriving to a camel in the desert.,Quirky detail.,Works – Mission: Impossible
Q149,Quote,Career / Mission,“I was terrified of the stunt test.”,On stunt audition.,Works – Mission: Impossible
F176,Fact,Career / Stunts,Had to undergo a stunt test during Mission: Impossible casting.,Fearful but necessary step.,Works – Mission: Impossible
Q150,Quote,Career / Mission,“I swore at Tom Cruise when he told me to jump.”,On reacting to Cruise during stunts.,Works – Mission: Impossible
F177,Fact,Career Anecdote,Swore at Tom Cruise when urged to perform a stunt jump.,Reveals humor and fear.,Works – Mission: Impossible
Q151,Quote,Career / The Girl on the Train,“I wanted to work with Emily Blunt.”,On motivation for the role.,Works – Hollywood Roles
F178,Fact,Career,Took role in The Girl on the Train because she wanted to work with Emily Blunt.,Motivation detail.,Works – Hollywood Roles
Q152,Quote,Acting,“I practiced my American accent every day.”,On preparation for The Girl on the Train.,Works – Hollywood Roles
F179,Fact,Acting,Practiced American accent daily for The Girl on the Train.,Work ethic.,Creative Passions & Work Ethic
Q153,Quote,Career / Florence Foster Jenkins,“I was in awe of Meryl Streep.”,On working with Streep.,Works – Hollywood Roles
F180,Fact,Career,Worked alongside Meryl Streep in Florence Foster Jenkins.,Significant collaboration.,Works – Hollywood Roles
Q154,Quote,Acting / Observation,"“I just watched her, studied how she worked.”",On observing Streep.,Creative Passions & Work Ethic
F181,Fact,Acting,Studied Meryl Streep’s working methods on set.,Learning approach.,Creative Passions & Work Ethic
Q155,Quote,Career / Life,“Daniel Espinosa called me about Life.”,On getting role in Life.,Works – Hollywood Roles
F182,Fact,Career,Director Daniel Espinosa approached her about film Life.,Casting detail.,Works – Hollywood Roles
Q156,Quote,Acting / Training,"“We trained to float, to counter every movement.”",On training for Life.,Works – Hollywood Roles
F183,Fact,Acting / Training,Learned to simulate floating and counter-movements for zero-gravity acting.,Training detail.,Works – Hollywood Roles
Q157,Quote,Acting / Challenge,“It was exhausting — every gesture had a reaction.”,On difficulty of zero-gravity acting.,Works – Hollywood Roles
F184,Fact,Acting / Challenge,Found zero-gravity acting exhausting due to constant counter-reactions.,Physical demand.,Works – Hollywood Roles
Q158,Quote,Career / Greatest Showman,“The director came in with a TV under his arm.”,On Michael Gracey’s pitch.,Works – Hollywood Roles
F185,Fact,Career / Greatest Showman,Director Michael Gracey pitched The Greatest Showman using a TV under his arm.,Anecdote.,Works – Hollywood Roles
Q159,Quote,Career / Greatest Showman,"“They wanted me to sing, but I fought to have Loren Allred’s voice.”",On Jenny Lind’s singing.,Works – Hollywood Roles
F186,Fact,Career,"Refused to sing for Jenny Lind, insisted on Loren Allred’s vocals instead.",Decision detail.,Works – Hollywood Roles
Q160,Quote,Career / Greatest Showman,“I was terrified — everyone thought I’d be singing live.”,On nerves about role.,Works – Hollywood Roles
F187,Fact,Career Anecdote,Felt terrified audiences would expect her to sing Jenny Lind’s parts live.,Adds context.,Works – Hollywood Roles
Q161,Quote,Career / Greatest Showman,"“Hugh Jackman was extraordinary, so generous.”",On working with Jackman.,Works – Hollywood Roles
F188,Fact,Career,Praised Hugh Jackman’s generosity and professionalism on The Greatest Showman.,Colleague respect.,Works – Hollywood Roles
Q162,Quote,Career / Mission,“I was pregnant while filming Mission.”,On filming while pregnant.,Works – Mission: Impossible
F189,Fact,Career,Filmed Mission: Impossible while pregnant.,Personal/career detail.,Works – Mission: Impossible
Q163,Quote,Anecdote,“I was throwing up between takes.”,On dealing with pregnancy sickness during filming.,Works – Mission: Impossible
F190,Fact,Anecdote,"Experienced morning sickness during filming, vomiting between takes.",Adds personal struggle.,Works – Mission: Impossible
Q164,Quote,Humor / Anecdote,"“Sean Harris said, ‘It’s a fanny fart.’”",Humorous on-set pregnancy anecdote.,Works – Mission: Impossible
F191,Fact,Humor / Anecdote,Shared a crude joke from Sean Harris about pregnancy discomfort.,Set humor.,Works – Mission: Impossible
Q165,Quote,Career / Doctor Sleep,“I had to play someone evil while being a mother.”,On Rose the Hat role.,Works – Hollywood Roles
F192,Fact,Career,Struggled emotionally to play Rose the Hat while being a mother.,Balancing personal identity with role.,Works – Hollywood Roles
